callsign,latitude,longitude,altitude,velocity,heading,vertical_rate,timestamp,source_file
VOI3121,32.5355,-116.9302,775.0000248,127.904967442,279.9,-639.7637804999999,2026-07-13 22:36:36+00:00,opensky_states_20260713_2241.json
MLWCW,34.2184,-118.4895,,0.9913606899,354.38,,2026-07-13 22:36:59+00:00,opensky_states_20260713_2241.json
AAL2039,33.9374,-118.3825,125.000004,148.2181423625,262.64,-767.7165365999999,2026-07-13 22:37:12+00:00,opensky_states_20260713_2241.json
N1487V,32.5746,-116.9347,1675.0000536,73.9827212894,189.33,-704.72441052,2026-07-13 22:37:13+00:00,opensky_states_20260713_2241.json
N355G,32.8122,-117.1334,400.0000128,54.1166306016,297.51,-255.9055122,2026-07-13 22:37:23+00:00,opensky_states_20260713_2241.json
N970CF,33.8009,-118.3349,50.0000016,24.3563714597,289.18,0.0,2026-07-13 22:37:55+00:00,opensky_states_20260713_2241.json
AAY451,34.1978,-118.3567,,94.0043195364,90.0,,2026-07-13 22:37:59+00:00,opensky_states_20260713_2241.json
JSX177,34.1968,-118.3604,,20.0021598021,270.0,,2026-07-13 22:38:08+00:00,opensky_states_20260713_2241.json
N322PL,34.4308,-119.8427,,2.5075593921,241.88,,2026-07-13 22:38:08+00:00,opensky_states_20260713_2241.json
N7024U,33.8205,-118.1479,0.0,33.997840130099995,270.0,0.0,2026-07-13 22:38:30+00:00,opensky_states_20260713_2241.json
ASA551,32.7341,-117.2012,,0.0,165.94,,2026-07-13 22:38:34+00:00,opensky_states_20260713_2241.json
SWA3582,32.7296,-117.1776,,0.7580993511,106.88,,2026-07-13 22:38:56+00:00,opensky_states_20260713_2241.json
N69R,33.0251,-116.8357,2975.0000952,131.19006463009998,293.83,-1023.6220488,2026-07-13 22:39:09+00:00,opensky_states_20260713_2241.json
N89815,33.1295,-117.2725,250.000008,51.7840172136,259.99,-255.9055122,2026-07-13 22:39:14+00:00,opensky_states_20260713_2241.json
SWA2328,32.7314,-117.1906,,0.0,196.88,,2026-07-13 22:39:31+00:00,opensky_states_20260713_2241.json
FDY805,33.9375,-118.3814,100.0000032,90.6609070136,263.03,-448.81889831999996,2026-07-13 22:39:38+00:00,opensky_states_20260713_2241.json
VOI3191,32.5352,-116.9281,900.0000288,140.2483799535,285.72,-832.6771666200001,2026-07-13 22:39:43+00:00,opensky_states_20260713_2241.json
N608FM,33.8006,-118.3344,0.0,52.0172785524,307.97,-255.9055122,2026-07-13 22:39:50+00:00,opensky_states_20260713_2241.json
SH426,32.5621,-117.117,0.0,12.1684665074,279.46,-192.91338611999998,2026-07-13 22:40:02+00:00,opensky_states_20260713_2241.json
,32.7342,-117.2027,,2.0021598247,14.06,,2026-07-13 22:40:05+00:00,opensky_states_20260713_2241.json
,33.9037,-117.6156,1950.0000624,134.1058313651,252.65,-639.7637804999999,2026-07-13 22:40:10+00:00,opensky_states_20260713_2241.json
N869CP,33.5643,-117.1311,1300.0000416,62.37796968410001,12.03,-448.81889831999996,2026-07-13 22:40:19+00:00,opensky_states_20260713_2241.json
DAL2766,33.951,-118.4126,,96.0064793611,261.56,,2026-07-13 22:40:20+00:00,opensky_states_20260713_2241.json
N752W,33.8897,-118.2372,50.0000016,65.9935204355,270.0,-832.6771666200001,2026-07-13 22:40:24+00:00,opensky_states_20260713_2241.json
SHWK434,32.5634,-117.1176,-100.0000032,0.9913606899,90.0,-64.96063002,2026-07-13 22:40:39+00:00,opensky_states_20260713_2241.json
N23HS,33.9827,-117.6278,725.0000232,62.24190056980001,223.7,-448.81889831999996,2026-07-13 22:40:43+00:00,opensky_states_20260713_2241.json
SWA8510,32.7317,-117.1919,,0.0,196.88,,2026-07-13 22:40:45+00:00,opensky_states_20260713_2241.json
DAL540,32.736,-117.1995,,40.0043196042,286.88,,2026-07-13 22:40:49+00:00,opensky_states_20260713_2241.json
N8756C,33.9808,-117.6649,1225.0000392,80.53347722070001,335.03,448.81889831999996,2026-07-13 22:40:58+00:00,opensky_states_20260713_2241.json
N76CG,34.3349,-118.6444,2575.0000824,3.1684665187,108.43,832.6771666200001,2026-07-13 22:41:07+00:00,opensky_states_20260713_2241.json
N734NF,32.8117,-117.132,350.0000112,60.4146867492,294.44,-192.91338611999998,2026-07-13 22:41:07+00:00,opensky_states_20260713_2241.json
SWA765,32.7299,-117.1786,,2.9935205146,106.88,,2026-07-13 22:41:07+00:00,opensky_states_20260713_2241.json
EJA480,34.0195,-118.4481,,0.0,50.62,,2026-07-13 22:41:11+00:00,opensky_states_20260713_2241.json
SWA4807,32.7304,-117.1899,,0.0,16.88,,2026-07-13 22:41:11+00:00,opensky_states_20260713_2241.json
N9737V,35.4345,-119.0512,,0.0,165.94,,2026-07-13 22:41:13+00:00,opensky_states_20260713_2241.json
SWA3519,32.7307,-117.1917,,0.0,16.88,,2026-07-13 22:41:16+00:00,opensky_states_20260713_2241.json
XBBJI,32.0616,-116.8157,3475.0001112,123.4924404497,148.24,64.96063002,2026-07-13 22:41:17+00:00,opensky_states_20260713_2241.json
N2060U,33.7998,-118.3358,25.0000008,53.261339026,309.67,-383.85826829999996,2026-07-13 22:41:18+00:00,opensky_states_20260713_2241.json
N916GW,34.2844,-119.3746,1900.0000608,106.7948162806,96.99,0.0,2026-07-13 22:41:20+00:00,opensky_states_20260713_2241.json
OXF6784,33.9219,-116.7987,6500.000208,76.1598271182,273.76,255.9055122,2026-07-13 22:41:22+00:00,opensky_states_20260713_2241.json
N65V,33.7844,-118.0615,,11.0021598134,289.69,,2026-07-13 22:41:22+00:00,opensky_states_20260713_2241.json
N7876U,34.2087,-119.2447,1000.000032,83.15766728220001,356.55,192.91338611999998,2026-07-13 22:41:23+00:00,opensky_states_20260713_2241.json
N7039C,34.2192,-118.4923,,0.0,81.56,,2026-07-13 22:41:24+00:00,opensky_states_20260713_2241.json
SWA2809,32.7313,-117.1875,,7.5032397314,264.38,,2026-07-13 22:41:24+00:00,opensky_states_20260713_2241.json
N992VA,33.5233,-117.0367,3325.0001064000003,57.265658675400005,114.78,767.7165365999999,2026-07-13 22:41:24+00:00,opensky_states_20260713_2241.json
N4278Z,33.1975,-117.4793,800.0000256,91.7688983729,69.59,-255.9055122,2026-07-13 22:41:26+00:00,opensky_states_20260713_2241.json
JSX109,34.6038,-118.1891,9625.000307999999,273.12958928989997,255.15,-1279.5275609999999,2026-07-13 22:41:26+00:00,opensky_states_20260713_2241.json
SWA3539,32.7296,-117.1778,,0.0,106.88,,2026-07-13 22:41:26+00:00,opensky_states_20260713_2241.json
,33.9476,-118.4079,,0.0,264.38,,2026-07-13 22:41:26+00:00,opensky_states_20260713_2241.json
N950TR,34.2004,-118.4886,,13.995680328,0.0,,2026-07-13 22:41:27+00:00,opensky_states_20260713_2241.json
SWA4552,32.7313,-117.1901,,0.0,196.88,,2026-07-13 22:41:27+00:00,opensky_states_20260713_2241.json
EJA437,34.0196,-118.4478,,0.0,106.88,,2026-07-13 22:41:28+00:00,opensky_states_20260713_2241.json
SWA3497,32.7306,-117.1892,,0.0,312.19,,2026-07-13 22:41:28+00:00,opensky_states_20260713_2241.json
N79DM,34.0802,-115.7842,16900.0005408,279.2915763232,248.58,0.0,2026-07-13 22:41:28+00:00,opensky_states_20260713_2241.json
GXA66263,35.4282,-119.0451,,0.0,317.81,,2026-07-13 22:41:28+00:00,opensky_states_20260713_2241.json
SWA940,33.9523,-118.3999,100.0000032,125.9028076173,263.16,-704.72441052,2026-07-13 22:41:28+00:00,opensky_states_20260713_2241.json
N5283M,34.7706,-115.2046,10425.000333599999,145.0302373989,268.81,64.96063002,2026-07-13 22:41:29+00:00,opensky_states_20260713_2241.json
N760HC,34.1988,-118.3534,,7.5032397314,270.0,,2026-07-13 22:41:29+00:00,opensky_states_20260713_2241.json
N738TJ,34.258,-118.4119,,15.0064794628,123.75,,2026-07-13 22:41:29+00:00,opensky_states_20260713_2241.json
N781MM,34.9608,-116.5417,25500.000816,458.9999994237,38.54,0.0,2026-07-13 22:41:29+00:00,opensky_states_20260713_2241.json
N936JG,35.4262,-119.0413,,0.0,272.81,,2026-07-13 22:41:29+00:00,opensky_states_20260713_2241.json
N162JC,34.2094,-118.4915,,6.4924405966,354.38,,2026-07-13 22:41:29+00:00,opensky_states_20260713_2241.json
FFAB123,32.6993,-117.2102,-75.0000024,0.9913606899,180.0,-64.96063002,2026-07-13 22:41:29+00:00,opensky_states_20260713_2241.json
N916HT,35.4351,-119.054,,0.0,317.81,,2026-07-13 22:41:29+00:00,opensky_states_20260713_2241.json
C6065,33.7442,-118.2285,25.0000008,0.9913606899,0.0,0.0,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
WSN2,33.9549,-118.1418,2025.0000648,189.8358528934,200.34,64.96063002,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
UAL2683,32.8261,-115.7683,22225.000711200002,370.1274293409,308.42,-1407.4803171,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
N6482M,34.3855,-119.8014,1325.0000424,82.030237478,91.4,448.81889831999996,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
N2102P,33.8483,-118.0459,4750.000152,93.6155506384,113.28,511.8110244,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
N190LA,34.1208,-118.2694,950.0000304,134.8250538264,29.8,320.86614222,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
N452MP,32.7215,-117.1404,1075.0000344,132.570194218,286.66,-1279.5275609999999,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
SWA4237,35.5748,-119.2554,39175.0012536,428.0539951429,136.99,0.0,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
