mkey,ntsb_no,event_date,city,state,country,narrative_text,aircraft_type,phase_of_flight,cause_codes
203372,GAA26WA249,2026-07-10 04:00:00+00:00,Nicholls Town,Other Foreign,Bahamas,,CESSNA 402C,Enroute,
203360,WPR26LA253,2026-07-09 10:30:00+00:00,Big Piney,Wyoming,United States,,CESSNA 180,Landing-landing roll,
203362,ANC26LA070,2026-07-08 11:48:00+00:00,Tallahassee,Florida,United States,,MOONEY M20M,Enroute-cruise,
203352,ANC26LA069,2026-07-07 14:30:00+00:00,Mekoryuk,Alaska,United States,,PIPER PA-18-150,Enroute,
203343,GAA26WA245,2026-07-07 14:19:00+00:00,La Lima,Other Foreign,Honduras,,AYRES S2R AIR,Unknown,
203329,WPR26LA245,2026-07-05 08:25:00+00:00,Salome,Arizona,United States,,PIPER PA-28-140,Initial climb,
203358,WPR26LA252,2026-07-05 06:50:00+00:00,Greenleaf,Idaho,United States,,FAIRCHILD M-62A,Approach-VFR pattern final,
203339,WPR26LA247,2026-07-03 12:10:00+00:00,Springtown,Texas,United States,,BELL 47G HELI,Takeoff,
203315,GAA26WA238,2026-07-03 12:03:00+00:00,Chichester,Other Foreign,United Kingdom,,CIRRUS SR22,Unknown,
203308,ERA26LA257,2026-07-02 14:42:00+00:00,Lafayette,Tennessee,United States,,CIRRUS DESIGN CORP SR22,Enroute,
203283,WPR26LA237,2026-06-29 11:48:00+00:00,San Jose,California,United States,,AUTOGYRO MT03 GYRO,Takeoff,
203271,ERA26FA253,2026-06-29 10:55:00+00:00,Goldsby,Oklahoma,United States,,BELLANCA 14-19-2,Takeoff,
203325,GAA26WA241,2026-06-28 15:30:00+00:00,Neropolis,Other Foreign,Brazil,,CIRRUS SR22,Unknown,
203292,GAA26WA235,2026-06-27 14:45:00+00:00,Fochville,Other Foreign,South Africa,,PIPER PA28 AIR,Unknown,
203326,GAA26WA242,2026-06-26 13:45:00+00:00,São Gabriel do Oeste,Other Foreign,Brazil,,CESSNA 172 AIR,Unknown,
203263,GAA26WA230,2026-06-25 11:07:00+00:00,Warsaw,Other Foreign,Poland,,CIRRUS SR22 AIR,Unknown,
